date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d,Month,Interest
26/07/2013,15.5464,15.7514,15.5121,15.7496,200152400,440.9888,0.57,311809680,2013-07,53
29/07/2013,15.7429,16.0711,15.7214,15.9925,248057600,447.79,1.54,295286740,2013-07,53
30/07/2013,16.07,16.3268,16.0439,16.19,309422400,453.32,1.23,291205180,2013-07,53
31/07/2013,16.2496,16.3336,16.0511,16.1618,322957600,452.5304,-0.17,283859800,2013-07,53
01/08/2013,16.2768,16.3143,16.1879,16.31,206250800,456.68,0.92,282125900,2013-08,55
02/08/2013,16.3575,16.5304,16.3093,16.5193,274783600,462.5404,1.28,282163840,2013-08,55
05/08/2013,16.5961,16.8096,16.5054,16.7661,318855600,469.4508,1.49,283199700,2013-08,55
06/08/2013,16.715,16.8532,16.5061,16.6161,334857600,465.2508,-0.89,282313360,2013-08,55
07/08/2013,16.5643,16.6786,16.4918,16.6064,298858000,464.9792,-0.06,283185980,2013-08,55
08/08/2013,16.5664,16.575,16.3554,16.4646,255777200,461.0088,-0.2,279660220,2013-08,55
09/08/2013,16.38,16.445,16.2018,16.2304,266865200,454.4512,-1.42,279025320,2013-08,55
12/08/2013,16.3164,16.7375,16.3082,16.6914,364434000,467.3592,2.84,285151160,2013-08,55
13/08/2013,16.8193,17.6664,16.7161,17.4846,881941200,489.5688,4.75,318421320,2013-08,55
14/08/2013,17.7814,18.0089,17.6214,17.8036,756372400,498.5008,1.83,346290420,2013-08,55
15/08/2013,17.7293,17.9429,17.4671,17.7825,490294000,497.91,-0.12,359861180,2013-08,55
16/08/2013,17.8625,17.9621,17.8164,17.9404,362306000,502.3312,0.89,364540400,2013-08,55
19/08/2013,18.0121,18.3479,18,18.1336,510518400,507.7408,1.08,379676500,2013-08,55
20/08/2013,18.2039,18.2346,17.8864,17.8954,358688400,501.0712,-1.31,379141140,2013-08,55
21/08/2013,17.9854,18.1125,17.9,17.9414,335879600,502.3592,0.26,366338280,2013-08,55
22/08/2013,18.035,18.0568,17.7929,17.9629,244207600,502.9612,0.12,367073980,2013-08,55
23/08/2013,17.9739,17.9768,17.8339,17.8936,222731600,501.0208,-0.39,368202940,2013-08,55
26/08/2013,17.8839,18.2214,17.875,17.9632,330965600,502.9696,0.39,372348340,2013-08,55
27/08/2013,17.7857,17.9468,17.3679,17.4496,424188800,488.5888,-2.86,378086660,2013-08,55
28/08/2013,17.3571,17.7071,17.3571,17.5321,307608000,490.8988,0.47,377319180,2013-08,55
29/08/2013,17.5589,17.7321,17.5404,17.5607,239657600,491.6996,0.16,378989520,2013-08,55
30/08/2013,17.5714,17.6054,17.375,17.4007,272297200,487.2196,-0.91,378865200,2013-08,55
03/09/2013,17.6107,17.8786,17.4054,17.4493,331928800,488.5804,0.28,379518860,2013-09,87
04/09/2013,17.8414,17.9371,17.7243,17.8104,345032800,498.6912,2.07,380027620,2013-09,87
05/09/2013,17.8661,17.8814,17.63,17.6882,236367600,495.2696,-0.69,376903100,2013-09,87
06/09/2013,17.8014,17.835,17.4982,17.7936,359525600,498.2208,0.6,382090520,2013-09,87
09/09/2013,18.0357,18.14,17.9814,18.0775,340687200,506.17,1.6,385781620,2013-09,87
